Date,Offence,Sum Value,year
2017-07-01,Violence Against the Person,21053,12102
2017-08-01,Arson and Criminal Damage,5674,8068
2017-08-01,Burglary,6644,8068
2017-08-01,Drug Offences,5971,8068
2017-08-01,Historical Fraud and Forgery,0,4034
2017-08-01,Miscellaneous Crimes Against Society,1330,96816
2017-08-01,Possession of Weapons,1178,24204
2017-08-01,Public Order Offences,4789,16136
2017-08-01,Robbery,2888,8068
2017-08-01,Sexual Offences,2088,8068
2017-08-01,Theft,21228,16136
2017-08-01,Vehicle Offences,8860,16136
2017-08-01,Violence Against the Person,18733,12102
2017-09-01,Arson and Criminal Damage,5431,8068
2017-09-01,Burglary,6476,8068
2017-09-01,Drug Offences,6024,8068
2017-09-01,Historical Fraud and Forgery,0,4034
2017-09-01,Miscellaneous Crimes Against Society,1320,96816
2017-09-01,Possession of Weapons,1044,24204
2017-09-01,Public Order Offences,4560,16136
2017-09-01,Robbery,2951,8068
2017-09-01,Sexual Offences,1878,8068
2017-09-01,Theft,19753,16136
2017-09-01,Vehicle Offences,9149,16136
2017-09-01,Violence Against the Person,18932,12102
2017-10-01,Arson and Criminal Damage,5959,8068
2017-10-01,Burglary,7127,8068
2017-10-01,Drug Offences,6505,8068
2017-10-01,Historical Fraud and Forgery,0,4034
2017-10-01,Miscellaneous Crimes Against Society,1435,96816
2017-10-01,Possession of Weapons,1171,24204
2017-10-01,Public Order Offences,5065,16136
2017-10-01,Robbery,3250,8068
2017-10-01,Sexual Offences,2027,8068
2017-10-01,Theft,20425,16136
2017-10-01,Vehicle Offences,9490,16136
2017-10-01,Violence Against the Person,20791,12102
2017-11-01,Arson and Criminal Damage,5648,8068
2017-11-01,Burglary,7683,8068
2017-11-01,Drug Offences,6041,8068
2017-11-01,Historical Fraud and Forgery,1,4034
2017-11-01,Miscellaneous Crimes Against Society,1349,96816
2017-11-01,Possession of Weapons,1034,24204
2017-11-01,Public Order Offences,4649,16136
2017-11-01,Robbery,3329,8068
2017-11-01,Sexual Offences,2038,8068
2017-11-01,Theft,20385,16136
2017-11-01,Vehicle Offences,9496,16136
2017-11-01,Violence Against the Person,19594,12102
2017-12-01,Arson and Criminal Damage,5205,8068
2017-12-01,Burglary,7336,8068
2017-12-01,Drug Offences,5093,8068
2017-12-01,Historical Fraud and Forgery,0,4034
2017-12-01,Miscellaneous Crimes Against Society,1116,96816
2017-12-01,Possession of Weapons,872,24204
2017-12-01,Public Order Offences,3914,16136
2017-12-01,Robbery,3019,8068
2017-12-01,Sexual Offences,1649,8068
2017-12-01,Theft,18698,16136
2017-12-01,Vehicle Offences,8751,16136
2017-12-01,Violence Against the Person,18882,12102
2018-01-01,Arson and Criminal Damage,5505,8072
2018-01-01,Burglary,8047,8072
2018-01-01,Drug Offences,6050,8072
2018-01-01,Historical Fraud and Forgery,0,4036
2018-01-01,Miscellaneous Crimes Against Society,1332,96864
2018-01-01,Possession of Weapons,1049,24216
2018-01-01,Public Order Offences,4152,16144
2018-01-01,Robbery,3159,8072
2018-01-01,Sexual Offences,1800,8072
2018-01-01,Theft,18679,16144
2018-01-01,Vehicle Offences,9715,16144
2018-01-01,Violence Against the Person,19383,12108
2018-02-01,Arson and Criminal Damage,4652,8072
2018-02-01,Burglary,6941,8072
2018-02-01,Drug Offences,5303,8072
2018-02-01,Historical Fraud and Forgery,0,4036
2018-02-01,Miscellaneous Crimes Against Society,1140,96864
2018-02-01,Possession of Weapons,922,24216
2018-02-01,Public Order Offences,3866,16144
2018-02-01,Robbery,2704,8072
2018-02-01,Sexual Offences,1625,8072
2018-02-01,Theft,17283,16144
2018-02-01,Vehicle Offences,8968,16144
2018-02-01,Violence Against the Person,17087,12108
2018-03-01,Arson and Criminal Damage,4940,8072
2018-03-01,Burglary,6603,8072
2018-03-01,Drug Offences,4938,8072
2018-03-01,Historical Fraud and Forgery,0,4036
2018-03-01,Miscellaneous Crimes Against Society,1216,96864
2018-03-01,Possession of Weapons,990,24216
2018-03-01,Public Order Offences,4451,16144
2018-03-01,Robbery,2775,8072
2018-03-01,Sexual Offences,1791,8072
2018-03-01,Theft,18125,16144
2018-03-01,Vehicle Offences,9122,16144
2018-03-01,Violence Against the Person,19161,12108
2018-04-01,Arson and Criminal Damage,5203,8072
2018-04-01,Burglary,6689,8072
2018-04-01,Drug Offences,5141,8072
2018-04-01,Historical Fraud and Forgery,0,4036
2018-04-01,Miscellaneous Crimes Against Society,1168,96864
2018-04-01,Possession of Weapons,1049,24216
2018-04-01,Public Order Offences,4458,16144
2018-04-01,Robbery,2732,8072
2018-04-01,Sexual Offences,1713,8072
2018-04-01,Theft,18293,16144
2018-04-01,Vehicle Offences,9069,16144
2018-04-01,Violence Against the Person,18794,12108
2018-05-01,Arson and Criminal Damage,5352,8072
2018-05-01,Burglary,6674,8072
2018-05-01,Drug Offences,4739,8072
2018-05-01,Historical Fraud and Forgery,1,4036
2018-05-01,Miscellaneous Crimes Against Society,1286,96864
2018-05-01,Possession of Weapons,1086,24216
2018-05-01,Public Order Offences,4842,16144
2018-05-01,Robbery,2745,8072
2018-05-01,Sexual Offences,1907,8072
2018-05-01,Theft,19143,16144
2018-05-01,Vehicle Offences,8989,16144
2018-05-01,Violence Against the Person,20896,12108
2018-06-01,Arson and Criminal Damage,5223,8072
2018-06-01,Burglary,6405,8072
2018-06-01,Drug Offences,4217,8072
2018-06-01,Historical Fraud and Forgery,0,4036
2018-06-01,Miscellaneous Crimes Against Society,1174,96864
2018-06-01,Possession of Weapons,1047,24216
2018-06-01,Public Order Offences,4906,16144
2018-06-01,Robbery,3078,8072
2018-06-01,Sexual Offences,1976,8072
2018-06-01,Theft,19073,16144
2018-06-01,Vehicle Offences,9171,16144
2018-06-01,Violence Against the Person,21275,12108
2018-07-01,Arson and Criminal Damage,5426,8072
2018-07-01,Burglary,6615,8072
2018-07-01,Drug Offences,4206,8072
2018-07-01,Historical Fraud and Forgery,0,4036
2018-07-01,Miscellaneous Crimes Against Society,1179,96864
2018-07-01,Possession of Weapons,1057,24216
2018-07-01,Public Order Offences,5546,16144
2018-07-01,Robbery,3114,8072
2018-07-01,Sexual Offences,2152,8072
2018-07-01,Theft,20564,16144
2018-07-01,Vehicle Offences,9225,16144
2018-07-01,Violence Against the Person,22569,12108
2018-08-01,Arson and Criminal Damage,4963,8072
2018-08-01,Burglary,6868,8072
2018-08-01,Drug Offences,4904,8072
2018-08-01,Historical Fraud and Forgery,0,4036
2018-08-01,Miscellaneous Crimes Against Society,1121,96864
2018-08-01,Possession of Weapons,1048,24216
2018-08-01,Public Order Offences,4455,16144
2018-08-01,Robbery,2718,8072
2018-08-01,Sexual Offences,1763,8072
2018-08-01,Theft,19220,16144
2018-08-01,Vehicle Offences,9365,16144
2018-08-01,Violence Against the Person,19501,12108
2018-09-01,Arson and Criminal Damage,4824,8072
2018-09-01,Burglary,6435,8072
2018-09-01,Drug Offences,4424,8072
2018-09-01,Historical Fraud and Forgery,0,4036
2018-09-01,Miscellaneous Crimes Against Society,1225,96864
2018-09-01,Possession of Weapons,979,24216
2018-09-01,Public Order Offences,4533,16144
2018-09-01,Robbery,2813,8072
2018-09-01,Sexual Offences,1837,8072
2018-09-01,Theft,18839,16144
2018-09-01,Vehicle Offences,9955,16144
2018-09-01,Violence Against the Person,19472,12108
2018-10-01,Arson and Criminal Damage,5342,8072
2018-10-01,Burglary,7493,8072
2018-10-01,Drug Offences,5237,8072
2018-10-01,Historical Fraud and Forgery,0,4036
2018-10-01,Miscellaneous Crimes Against Society,1271,96864
2018-10-01,Possession of Weapons,1032,24216
2018-10-01,Public Order Offences,4852,16144
2018-10-01,Robbery,3136,8072
2018-10-01,Sexual Offences,1901,8072
2018-10-01,Theft,20989,16144
2018-10-01,Vehicle Offences,10696,16144
2018-10-01,Violence Against the Person,20829,12108
2018-11-01,Arson and Criminal Damage,5069,8072
2018-11-01,Burglary,8245,8072
2018-11-01,Drug Offences,5032,8072
2018-11-01,Historical Fraud and Forgery,1,4036
2018-11-01,Miscellaneous Crimes Against Society,1230,96864
2018-11-01,Possession of Weapons,1026,24216
2018-11-01,Public Order Offences,4476,16144
2018-11-01,Robbery,3192,8072
2018-11-01,Sexual Offences,1832,8072
2018-11-01,Theft,20750,16144
2018-11-01,Vehicle Offences,10660,16144
2018-11-01,Violence Against the Person,19678,12108
2018-12-01,Arson and Criminal Damage,5053,8072
2018-12-01,Burglary,7443,8072
2018-12-01,Drug Offences,4553,8072
2018-12-01,Historical Fraud and Forgery,0,4036
2018-12-01,Miscellaneous Crimes Against Society,1006,96864
2018-12-01,Possession of Weapons,941,24216
2018-12-01,Public Order Offences,4124,16144
2018-12-01,Robbery,3154,8072
2018-12-01,Sexual Offences,1559,8072
2018-12-01,Theft,20176,16144
2018-12-01,Vehicle Offences,9749,16144
2018-12-01,Violence Against the Person,19874,12108
2019-01-01,Arson and Criminal Damage,4961,8076
2019-01-01,Burglary,7816,8076
2019-01-01,Drug Offences,5401,8076
2019-01-01,Historical Fraud and Forgery,0,4038
2019-01-01,Miscellaneous Crimes Against Society,1149,96912
2019-01-01,Possession of Weapons,1076,24228
2019-01-01,Public Order Offences,4096,16152
2019-01-01,Robbery,3177,8076
2019-01-01,Sexual Offences,1800,8076
2019-01-01,Theft,19890,16152
2019-01-01,Vehicle Offences,11051,16152
2019-01-01,Violence Against the Person,19691,12114
2019-02-01,Arson and Criminal Damage,4738,8076
2019-02-01,Burglary,7018,8076
2019-02-01,Drug Offences,4930,8076
2019-02-01,Historical Fraud and Forgery,0,4038
2019-02-01,Miscellaneous Crimes Against Society,1139,96912
2019-02-01,Possession of Weapons,1016,24228
2019-02-01,Public Order Offences,4104,16152
2019-02-01,Robbery,3152,8076
2019-02-01,Sexual Offences,1648,8076
2019-02-01,Theft,20525,16152
2019-02-01,Vehicle Offences,9800,16152
2019-02-01,Violence Against the Person,18803,12114
2019-03-01,Arson and Criminal Damage,5297,8076
2019-03-01,Burglary,7523,8076
2019-03-01,Drug Offences,6021,8076
2019-03-01,Historical Fraud and Forgery,0,4038
2019-03-01,Miscellaneous Crimes Against Society,1220,96912
2019-03-01,Possession of Weapons,1216,24228
2019-03-01,Public Order Offences,4880,16152
2019-03-01,Robbery,3351,8076
2019-03-01,Sexual Offences,1798,8076
2019-03-01,Theft,22106,16152
2019-03-01,Vehicle Offences,10938,16152
2019-03-01,Violence Against the Person,20373,12114
2019-04-01,Arson and Criminal Damage,5081,8076
2019-04-01,Burglary,6670,8076
2019-04-01,Drug Offences,5227,8076
2019-04-01,Historical Fraud and Forgery,0,4038
2019-04-01,Miscellaneous Crimes Against Society,1116,96912
2019-04-01,Possession of Weapons,948,24228
2019-04-01,Public Order Offences,4558,16152
2019-04-01,Robbery,3585,8076
2019-04-01,Sexual Offences,1681,8076
2019-04-01,Theft,22228,16152
2019-04-01,Vehicle Offences,10471,16152
2019-04-01,Violence Against the Person,19366,12114
2019-05-01,Arson and Criminal Damage,5221,8076
2019-05-01,Burglary,6706,8076
2019-05-01,Drug Offences,5579,8076
2019-05-01,Historical Fraud and Forgery,0,4038
2019-05-01,Miscellaneous Crimes Against Society,1259,96912
2019-05-01,Possession of Weapons,1033,24228
2019-05-01,Public Order Offences,5037,16152
2019-05-01,Robbery,3471,8076
2019-05-01,Sexual Offences,1783,8076
2019-05-01,Theft,22572,16152
2019-05-01,Vehicle Offences,10199,16152
2019-05-01,Violence Against the Person,20757,12114
2019-06-01,Arson and Criminal Damage,4996,8076
2019-06-01,Burglary,6636,8076
2019-06-01,Drug Offences,5636,8076
2019-06-01,Historical Fraud and Forgery,0,4038
2019-06-01,Miscellaneous Crimes Against Society,1165,96912
2019-06-01,Possession of Weapons,919,24228
2019-06-01,Public Order Offences,5038,16152
2019-06-01,Robbery,3354,8076
2019-06-01,Sexual Offences,1955,8076
2019-06-01,Theft,21918,16152
2019-06-01,Vehicle Offences,10193,16152
2019-06-01,Violence Against the Person,20745,12114
2019-07-01,Arson and Criminal Damage,5232,8076
2019-07-01,Burglary,6613,8076
2019-07-01,Drug Offences,6344,8076
2019-07-01,Historical Fraud and Forgery,0,4038
2019-07-01,Miscellaneous Crimes Against Society,1188,96912
2019-07-01,Possession of Weapons,935,24228
2019-07-01,Public Order Offences,5802,16152
2019-07-01,Robbery,3599,8076
2019-07-01,Sexual Offences,1985,8076
2019-07-01,Theft,23454,16152
2019-07-01,Vehicle Offences,10641,16152
2019-07-01,Violence Against the Person,22143,12114
2019-08-01,Arson and Criminal Damage,4856,8076
2019-08-01,Burglary,6438,8076
2019-08-01,Drug Offences,6370,8076
2019-08-01,Historical Fraud and Forgery,0,4038
2019-08-01,Miscellaneous Crimes Against Society,1059,96912
2019-08-01,Possession of Weapons,943,24228
2019-08-01,Public Order Offences,5050,16152
2019-08-01,Robbery,3225,8076
2019-08-01,Sexual Offences,1667,8076
2019-08-01,Theft,21566,16152
2019-08-01,Vehicle Offences,10631,16152
2019-08-01,Violence Against the Person,20151,12114
2019-09-01,Arson and Criminal Damage,4866,8076
2019-09-01,Burglary,6825,8076
2019-09-01,Drug Offences,5622,8076
2019-09-01,Historical Fraud and Forgery,0,4038
2019-09-01,Miscellaneous Crimes Against Society,1189,96912
2019-09-01,Possession of Weapons,945,24228
2019-09-01,Public Order Offences,4946,16152
2019-09-01,Robbery,3564,8076
2019-09-01,Sexual Offences,1741,8076
2019-09-01,Theft,20551,16152
2019-09-01,Vehicle Offences,11756,16152
2019-09-01,Violence Against the Person,20276,12114
2019-10-01,Arson and Criminal Damage,5178,8076
2019-10-01,Burglary,7632,8076
2019-10-01,Drug Offences,5607,8076
2019-10-01,Historical Fraud and Forgery,0,4038
2019-10-01,Miscellaneous Crimes Against Society,1191,96912
2019-10-01,Possession of Weapons,922,24228
2019-10-01,Public Order Offences,5128,16152
2019-10-01,Robbery,4043,8076
2019-10-01,Sexual Offences,1818,8076
2019-10-01,Theft,22984,16152
2019-10-01,Vehicle Offences,12433,16152
2019-10-01,Violence Against the Person,20717,12114
2019-11-01,Arson and Criminal Damage,4846,8076
2019-11-01,Burglary,7464,8076
2019-11-01,Drug Offences,5561,8076
2019-11-01,Historical Fraud and Forgery,0,4038
2019-11-01,Miscellaneous Crimes Against Society,1243,96912
2019-11-01,Possession of Weapons,988,24228
2019-11-01,Public Order Offences,4811,16152
2019-11-01,Robbery,4031,8076
2019-11-01,Sexual Offences,1879,8076
2019-11-01,Theft,21929,16152
2019-11-01,Vehicle Offences,11487,16152
2019-11-01,Violence Against the Person,20728,12114
2019-12-01,Arson and Criminal Damage,4787,8076
2019-12-01,Burglary,7049,8076
2019-12-01,Drug Offences,4704,8076
2019-12-01,Historical Fraud and Forgery,0,4038
2019-12-01,Miscellaneous Crimes Against Society,1075,96912
2019-12-01,Possession of Weapons,793,24228
2019-12-01,Public Order Offences,4450,16152
2019-12-01,Robbery,3502,8076
2019-12-01,Sexual Offences,1617,8076
2019-12-01,Theft,20766,16152
2019-12-01,Vehicle Offences,11081,16152
2019-12-01,Violence Against the Person,19512,12114
2020-01-01,Arson and Criminal Damage,4796,8080
2020-01-01,Burglary,7356,8080
2020-01-01,Drug Offences,6815,8080
2020-01-01,Historical Fraud and Forgery,0,4040
2020-01-01,Miscellaneous Crimes Against Society,1220,96960
2020-01-01,Possession of Weapons,1180,24240
2020-01-01,Public Order Offences,4870,16160
2020-01-01,Robbery,3688,8080
2020-01-01,Sexual Offences,1838,8080
2020-01-01,Theft,19641,16160
2020-01-01,Vehicle Offences,12249,16160
2020-01-01,Violence Against the Person,20439,12120
2020-02-01,Arson and Criminal Damage,4649,8080
2020-02-01,Burglary,6648,8080
2020-02-01,Drug Offences,6270,8080
2020-02-01,Historical Fraud and Forgery,0,4040
2020-02-01,Miscellaneous Crimes Against Society,1082,96960
2020-02-01,Possession of Weapons,925,24240
2020-02-01,Public Order Offences,4568,16160
2020-02-01,Robbery,3427,8080
2020-02-01,Sexual Offences,1918,8080
2020-02-01,Theft,20563,16160
2020-02-01,Vehicle Offences,11000,16160
2020-02-01,Violence Against the Person,19207,12120
2020-03-01,Arson and Criminal Damage,4909,8080
2020-03-01,Burglary,5661,8080
2020-03-01,Drug Offences,7014,8080
2020-03-01,Historical Fraud and Forgery,0,4040
2020-03-01,Miscellaneous Crimes Against Society,1257,96960
2020-03-01,Possession of Weapons,1021,24240
2020-03-01,Public Order Offences,4759,16160
2020-03-01,Robbery,2979,8080
2020-03-01,Sexual Offences,1681,8080
2020-03-01,Theft,15742,16160
2020-03-01,Vehicle Offences,9787,16160
2020-03-01,Violence Against the Person,19985,12120
2020-04-01,Arson and Criminal Damage,3996,8080
2020-04-01,Burglary,4104,8080
2020-04-01,Drug Offences,8065,8080
2020-04-01,Historical Fraud and Forgery,0,4040
2020-04-01,Miscellaneous Crimes Against Society,1217,96960
2020-04-01,Possession of Weapons,1044,24240
2020-04-01,Public Order Offences,4157,16160
2020-04-01,Robbery,1334,8080
2020-04-01,Sexual Offences,1167,8080
2020-04-01,Theft,7961,16160
2020-04-01,Vehicle Offences,6565,16160
2020-04-01,Violence Against the Person,18127,12120
2020-05-01,Arson and Criminal Damage,4382,8080
2020-05-01,Burglary,4229,8080
2020-05-01,Drug Offences,9913,8080
2020-05-01,Historical Fraud and Forgery,0,4040
2020-05-01,Miscellaneous Crimes Against Society,1224,96960
2020-05-01,Possession of Weapons,1113,24240
2020-05-01,Public Order Offences,4953,16160
2020-05-01,Robbery,1529,8080
2020-05-01,Sexual Offences,1415,8080
2020-05-01,Theft,9505,16160
2020-05-01,Vehicle Offences,7474,16160
2020-05-01,Violence Against the Person,20460,12120
2020-06-01,Arson and Criminal Damage,4750,8080
2020-06-01,Burglary,4608,8080
2020-06-01,Drug Offences,7333,8080
2020-06-01,Historical Fraud and Forgery,0,4040
2020-06-01,Miscellaneous Crimes Against Society,1260,96960
2020-06-01,Possession of Weapons,905,24240
2020-06-01,Public Order Offences,5590,16160
2020-06-01,Robbery,1919,8080
2020-06-01,Sexual Offences,1654,8080
2020-06-01,Theft,11953,16160
2020-06-01,Vehicle Offences,8267,16160
2020-06-01,Violence Against the Person,21249,12120
2020-07-01,Arson and Criminal Damage,5083,8080
2020-07-01,Burglary,5198,8080
2020-07-01,Drug Offences,7051,8080
2020-07-01,Historical Fraud and Forgery,1,4040
2020-07-01,Miscellaneous Crimes Against Society,1251,96960
2020-07-01,Possession of Weapons,871,24240
2020-07-01,Public Order Offences,6315,16160
2020-07-01,Robbery,2388,8080
2020-07-01,Sexual Offences,1962,8080
2020-07-01,Theft,15700,16160
2020-07-01,Vehicle Offences,9156,16160
2020-07-01,Violence Against the Person,22305,12120
2020-08-01,Arson and Criminal Damage,5023,8080
2020-08-01,Burglary,5259,8080
2020-08-01,Drug Offences,5589,8080
2020-08-01,Historical Fraud and Forgery,0,4040
2020-08-01,Miscellaneous Crimes Against Society,1140,96960
2020-08-01,Possession of Weapons,889,24240
2020-08-01,Public Order Offences,6130,16160
2020-08-01,Robbery,2692,8080
2020-08-01,Sexual Offences,1850,8080
2020-08-01,Theft,16617,16160
2020-08-01,Vehicle Offences,9038,16160
2020-08-01,Violence Against the Person,22577,12120
2020-09-01,Arson and Criminal Damage,4659,8080
2020-09-01,Burglary,5495,8080
2020-09-01,Drug Offences,5978,8080
2020-09-01,Historical Fraud and Forgery,0,4040
2020-09-01,Miscellaneous Crimes Against Society,1316,96960
2020-09-01,Possession of Weapons,962,24240
2020-09-01,Public Order Offences,5940,16160
2020-09-01,Robbery,2818,8080
2020-09-01,Sexual Offences,1828,8080
2020-09-01,Theft,17183,16160
2020-09-01,Vehicle Offences,10338,16160
2020-09-01,Violence Against the Person,21698,12120
2020-10-01,Arson and Criminal Damage,4655,8080
2020-10-01,Burglary,5920,8080
2020-10-01,Drug Offences,6092,8080
2020-10-01,Historical Fraud and Forgery,0,4040
2020-10-01,Miscellaneous Crimes Against Society,1185,96960
2020-10-01,Possession of Weapons,932,24240
2020-10-01,Public Order Offences,5285,16160
2020-10-01,Robbery,2663,8080
2020-10-01,Sexual Offences,1892,8080
2020-10-01,Theft,17523,16160
2020-10-01,Vehicle Offences,10807,16160
2020-10-01,Violence Against the Person,20596,12120
2020-11-01,Arson and Criminal Damage,4615,8080
2020-11-01,Burglary,5508,8080
2020-11-01,Drug Offences,6788,8080
2020-11-01,Historical Fraud and Forgery,0,4040
2020-11-01,Miscellaneous Crimes Against Society,1383,96960
2020-11-01,Possession of Weapons,1028,24240
2020-11-01,Public Order Offences,4961,16160
2020-11-01,Robbery,2498,8080
2020-11-01,Sexual Offences,1778,8080
2020-11-01,Theft,13543,16160
2020-11-01,Vehicle Offences,9353,16160
2020-11-01,Violence Against the Person,20393,12120
2020-12-01,Arson and Criminal Damage,4386,8080
2020-12-01,Burglary,4984,8080
2020-12-01,Drug Offences,5531,8080
2020-12-01,Historical Fraud and Forgery,0,4040
2020-12-01,Miscellaneous Crimes Against Society,1127,96960
2020-12-01,Possession of Weapons,770,24240
2020-12-01,Public Order Offences,4489,16160
2020-12-01,Robbery,2183,8080
2020-12-01,Sexual Offences,1509,8080
2020-12-01,Theft,13821,16160
2020-12-01,Vehicle Offences,7867,16160
2020-12-01,Violence Against the Person,19138,12120
2021-01-01,Arson and Criminal Damage,3988,8084
2021-01-01,Burglary,4547,8084
2021-01-01,Drug Offences,5811,8084
2021-01-01,Historical Fraud and Forgery,1,4042
2021-01-01,Miscellaneous Crimes Against Society,1090,97008
2021-01-01,Possession of Weapons,769,24252
2021-01-01,Public Order Offences,4071,16168
2021-01-01,Robbery,1662,8084
2021-01-01,Sexual Offences,1430,8084
2021-01-01,Theft,10022,16168
2021-01-01,Vehicle Offences,7817,16168
2021-01-01,Violence Against the Person,17773,12126
2021-02-01,Arson and Criminal Damage,3923,8084
2021-02-01,Burglary,4335,8084
2021-02-01,Drug Offences,5950,8084
2021-02-01,Historical Fraud and Forgery,0,4042
2021-02-01,Miscellaneous Crimes Against Society,1055,97008
2021-02-01,Possession of Weapons,779,24252
2021-02-01,Public Order Offences,3900,16168
2021-02-01,Robbery,1474,8084
2021-02-01,Sexual Offences,1550,8084
2021-02-01,Theft,9869,16168
2021-02-01,Vehicle Offences,7758,16168
2021-02-01,Violence Against the Person,17283,12126
2021-03-01,Arson and Criminal Damage,4515,8084
2021-03-01,Burglary,4974,8084
2021-03-01,Drug Offences,6295,8084
2021-03-01,Historical Fraud and Forgery,0,4042
2021-03-01,Miscellaneous Crimes Against Society,1403,97008
2021-03-01,Possession of Weapons,763,24252
2021-03-01,Public Order Offences,5573,16168
2021-03-01,Robbery,1909,8084
2021-03-01,Sexual Offences,2281,8084
2021-03-01,Theft,11969,16168
2021-03-01,Vehicle Offences,8484,16168
2021-03-01,Violence Against the Person,20767,12126
